"Name","order","gene","median_FC","sample","mouse_index"
"Trp53-2",56,"Trp53",1.04364089775561,"A310-thymus","A310"
"Cd19-27",57,"Cd19",1.08651911468813,"A310-thymus","A310"
"Kpnb1-17",58,"Kpnb1",0.176795580110497,"A310-thymus","A310"
"Polr2a-38",59,"Polr2a",0.456189151599444,"A310-thymus","A310"
"Pten-28",60,"Pten",64.469474680549,"A310-thymus","A310"
"Cd45-15",61,"Cd45",1.12715340442986,"A310-thymus","A310"
"Cd47-1",1,"Cd47",1.25267131857425,"39-thymus","39"
"Trp53-26",2,"Trp53",2.99946757533809,"39-thymus","39"
"Cd19-7",3,"Cd19",0.828783278017089,"39-thymus","39"
"Kpnb1-22",4,"Kpnb1",0.259436127063668,"39-thymus","39"
"Polr2a-2",5,"Polr2a",0.245088320115357,"39-thymus","39"
"Pten-6",6,"Pten",705.940441572429,"39-thymus","39"
"Cd45-5",7,"Cd45",1.01896092362345,"39-thymus","39"
"Trp53-13",8,"Trp53",1.85180271319115,"39-thymus","39"
"Cd19-12",9,"Cd19",1.036,"39-thymus","39"
"Kpnb1-4",10,"Kpnb1",0.375813684362795,"39-thymus","39"
"Polr2a-9",11,"Polr2a",0.26704676077061,"39-thymus","39"
"Pten-16",12,"Pten",8.28236726000304,"39-thymus","39"
"Cd45-7",13,"Cd45",1.39655429223971,"39-thymus","39"
"Trp53-7",14,"Trp53",2.21786241996388,"39-thymus","39"
"Cd19-11",15,"Cd19",1.15078889554624,"39-thymus","39"
"Kpnb1-1",16,"Kpnb1",0.259436127063668,"39-thymus","39"
"Polr2a-13",17,"Polr2a",0.47221819236907,"39-thymus","39"
"Pten-11",18,"Pten",8.54854368932039,"39-thymus","39"
"Cd45-8",19,"Cd45",2.31537932615173,"39-thymus","39"
"Trp53-33",20,"Trp53",2.25346153846154,"39-thymus","39"
"Cd19-15",21,"Cd19",0.960497599301615,"39-thymus","39"
"Kpnb1-7",22,"Kpnb1",0.361789003893267,"39-thymus","39"
"Polr2a-20",23,"Polr2a",0.307627829002515,"39-thymus","39"
"Pten-10",24,"Pten",8.26705091258405,"39-thymus","39"
"Cd45-9",25,"Cd45",1.54429133858268,"39-thymus","39"
"Trp53-4",26,"Trp53",3.15938410320433,"39-thymus","39"
"Cd19-10",27,"Cd19",0.814651368049426,"39-thymus","39"
"Kpnb1-8",28,"Kpnb1",0.469646895112193,"39-thymus","39"
"Polr2a-26",29,"Polr2a",0.514934289127838,"39-thymus","39"
"Pten-19",30,"Pten",8.70528039295947,"39-thymus","39"
"Cd45-11",31,"Cd45",1.55808357033472,"39-thymus","39"
"Trp53-22",32,"Trp53",2.31814223512337,"39-thymus","39"
"Cd19-17",33,"Cd19",0.886316516931583,"39-thymus","39"
"Kpnb1-10",34,"Kpnb1",0.332613390928726,"39-thymus","39"
"Polr2a-3",35,"Polr2a",0.2210433244916,"39-thymus","39"
"Pten-35",36,"Pten",949.546446870127,"39-thymus","39"
"Cd45-13",37,"Cd45",1.30753246753247,"39-thymus","39"
"Trp53-10",38,"Trp53",3.67228915662651,"39-thymus","39"
"Cd19-32",39,"Cd19",0.852708957255649,"39-thymus","39"
"Kpnb1-12",40,"Kpnb1",0.673364371477579,"39-thymus","39"
"Polr2a-22",41,"Polr2a",0.725849731663685,"39-thymus","39"
"Pten-30",42,"Pten",9.71187739463602,"39-thymus","39"
"Cd45-20",43,"Cd45",1.26652892561983,"39-thymus","39"
"Trp53-14",44,"Trp53",2235.95802098951,"39-thymus","39"
"Cd19-21",45,"Cd19",1.30959218839747,"39-thymus","39"
"Kpnb1-16",46,"Kpnb1",0.749569213095922,"39-thymus","39"
"Polr2a-23",47,"Polr2a",0.330790568654646,"39-thymus","39"
"Pten-33",48,"Pten",9.01325478645066,"39-thymus","39"
"Cd45-14",49,"Cd45",0.88348820586133,"39-thymus","39"
"Trp53-35",50,"Trp53",4.70034246575343,"39-thymus","39"
"Cd19-30",51,"Cd19",1.52399232245681,"39-thymus","39"
"Kpnb1-14",52,"Kpnb1",0.273234200743494,"39-thymus","39"
"Polr2a-28",53,"Polr2a",0.502115655853315,"39-thymus","39"
"Pten-34",54,"Pten",10.9772727272727,"39-thymus","39"
"Cd45-29",55,"Cd45",3.14754098360656,"39-thymus","39"
"Trp53-2",56,"Trp53",0.364123159303882,"39-thymus","39"
"Cd19-27",57,"Cd19",1.89336235038085,"39-thymus","39"
"Kpnb1-17",58,"Kpnb1",0.14018691588785,"39-thymus","39"
"Polr2a-38",59,"Polr2a",0.202097235462345,"39-thymus","39"
"Pten-28",60,"Pten",17.1828793774319,"39-thymus","39"
"Cd45-15",61,"Cd45",0.892053545998291,"39-thymus","39"
