"Name","organ","mouse_index","fold change"
"Chd8","Lung","385",0.942737249838606
"Chd8","Oral mucosa","385",0.2925479548587
"Chd8","Dorsal epidermis","385",0.315429495217468
"Chd8","Small intestine(basal layer)","385",0.410064561592588
"Chd8","Small intestine(epithelium)","385",0.38649906214701
"Chd8","Spleen","385",0.340549447133072
"Chd8","B cell","385",0.371514140335969
"Chd8","CD4 effector/memory","385",0.367783454407909
"Chd8","CD4 naive","385",0.295283791205944
"Chd8","CD8 central memory","385",0.564267249950288
"Chd8","CD8 effector/memory","385",0.429261163935033
"Chd8","CD8 naive","385",0.344466667357534
"Chd8","Treg","385",0.429246547585648
"Chd8","Crude tail","385",0.402665367835269
"Chd8","Tail epidermis","385",0.228753225488875
"Chd8","Crude testis","385",0.0729970879923728
"Chd8","Spermatogonia","385",0.140895571883064
"Chd8","Meiosis II","385",0.061929386405795
"Chd8","Round spermatid","385",0.0484989170647792
"Chd8","Sperm","385",0.0726861974983678
"Chd8","Pachytene/Diplotene","385",0.0537840554628641
"Chd8","Thyroid","385",0.845942828641791
"Chd8","Tongue","385",0.446625283687576
"Chd8","mFat","385",0.441713213882297
"Chd8","pFat","385",0.649377169695732
"Chd8","Cerebellum","385",1.51590204876836
"Chd8","LN","391",0.10685945356182
"Chd8","Whole blood","391",0.0972244255729701
"Chd8","Cerebrum","391",0.436334674769242
"Chd8","Ear lobe","391",0.24066201966504
"Chd8","Eyeball","391",0.232169993257044
"Chd8","Heart","391",0.321009698518908
"Chd8","Kidney","391",0.266199761368367
"Chd8","Large intestine(crude)","391",0.124812973599112
"Chd8","Large intestine(basal layer)","391",0.132055341992515
"Chd8","Liver","391",0.23904970651368
"Chd8","Lung","391",0.231804010062388
"Chd8","Oral mucosa","391",0.237262564225426
"Chd8","Small intestine(basal layer)","391",0.145839212006274
"Chd8","Spleen","391",0.101517452156712
"Chd8","B cell","391",0.0711997207080258
"Chd8","CD4 effector/memory","391",0.133005737154726
"Chd8","CD4 naive","391",0.12262060056485
"Chd8","CD8 central memory","391",0.0896724614856046
"Chd8","CD8 effector/memory","391",0.153281434889777
"Chd8","CD8 naive","391",0.106023542767559
"Chd8","Treg","391",0.130262141447798
"Chd8","Crude tail","391",0.165105708197622
"Chd8","Tail epidermis","391",0.0750405506470297
"Chd8","Thyroid","391",0.293907204579228
"Chd8","Tongue","391",0.309379965141696
"Chd8","mFat","391",0.175877387347464
"Chd8","pFat","391",0.331602615335728
"Chd8","Cerebellum","391",0.304241549115656
"Chd8","Whole blood","8",0.115123502673676
"Chd8","Cerebrum","8",0.930067773155828
"Chd8","Epididymis","8",0.208498776541871
"Chd8","Sperm","8",0.0445922797349841
"Chd8","Dorsal skin dermis","8",0.5509940483728
"Chd8","Ear lobe","8",0.438069092054277
"Chd8","Eyeball","8",0.606431004717547
"Chd8","Heart","8",0.798400680561463
"Chd8","Kidney","8",0.628226286686516
"Chd8","Large intestine(basal layer)","8",0.395607661822985
"Chd8","Large intestine(epithelium)","8",0.207956291616869
"Chd8","LN","8",0.194965973261258
"Chd8","Lung","8",0.679115270097831
"Chd8","Oral mucosa","8",0.370368494364949
"Chd8","Dorsal epidermis","8",0.306201616333475
"Chd8","Small intestine(basal layer)","8",0.334914429096608
"Chd8","Small intestine(epithelium)","8",0.171158479147042
"Chd8","Spleen","8",0.165931670467216
"Chd8","B cell","8",0.117803650536932
"Chd8","CD4 effector/memory","8",0.231016588685666
"Chd8","CD4 naive","8",0.181841208728581
"Chd8","CD8 central memory","8",0.168191909349353
"Chd8","CD8 effector/memory","8",0.188172421067435
"Chd8","CD8 naive","8",0.221869187230068
"Chd8","Treg","8",0.35525308379413
"Chd8","Tail epidermis","8",0.149868906144836
"Chd8","Thyroid","8",0.218659950928998
"Chd8","Tongue","8",0.707188430455125
"Chd8","mFat","8",0.471998914284346
"Chd8","pFat","8",0.469089527668735
"Chd8","Cerebellum","8",1.15436811639694
