"Name","type","organ","median_FC","mouse_index"
"47-Thap1","unknown","36-Pachytene/Diplotene",0.347897387841162,"264"
"65-Vps52","unknown","36-Pachytene/Diplotene",0.0315119007710359,"264"
"07-NC2","control","36-Pachytene/Diplotene",0.97737556561086,"264"
"46-Arf4","unknown","36-Pachytene/Diplotene",0.704830053667263,"264"
"62-Crkl","unknown","36-Pachytene/Diplotene",0.0346358792184725,"264"
"34-Elavl1","unknown","36-Pachytene/Diplotene",0.0948453608247423,"264"
"89-Hcfc1","unknown","36-Pachytene/Diplotene",0.00670890793887439,"264"
"31-Krit1","unknown","36-Pachytene/Diplotene",0.510536398467433,"264"
"23-Phgdh","unknown","36-Pachytene/Diplotene",0.114895780376207,"264"
"96-Prpf31","unknown","36-Pachytene/Diplotene",0.113832355984822,"264"
"63-Shoc2","unknown","36-Pachytene/Diplotene",0.145210084033613,"264"
"16-Tnrc6a","unknown","36-Pachytene/Diplotene",0.132780082987552,"264"
"85-Wdr77","unknown","36-Pachytene/Diplotene",0.0061012812690665,"264"
"08-NC3","control","36-Pachytene/Diplotene",0.979362101313321,"264"
"67-Arglu1","unknown","36-Pachytene/Diplotene",0.00739067953192363,"264"
"51-Ctnnbl1","unknown","36-Pachytene/Diplotene",0.0090293453724605,"264"
"26-Ets2","unknown","36-Pachytene/Diplotene",0.618341570565623,"264"
"82-Hdac3","unknown","36-Pachytene/Diplotene",0.0114340161981896,"264"
"92-Mcrs1","unknown","36-Pachytene/Diplotene",0.00441284628585438,"264"
"86-Pnkp","unknown","36-Pachytene/Diplotene",0.00381275153569159,"264"
"36-Psen1","unknown","36-Pachytene/Diplotene",0.221667498751872,"264"
"15-Slk","unknown","36-Pachytene/Diplotene",0.256998880179171,"264"
"84-Tra2b","unknown","36-Pachytene/Diplotene",0.0211889346674514,"264"
"90-Wtap","unknown","36-Pachytene/Diplotene",0.00881488736532811,"264"
"06-NC4","control","36-Pachytene/Diplotene",1.58455265051571,"264"
"66-Arid4b","unknown","36-Pachytene/Diplotene",0.00888888888888889,"264"
"49-Ddx11","unknown","36-Pachytene/Diplotene",0.114840062926062,"264"
"42-Fbxl5","unknown","36-Pachytene/Diplotene",0.0349902804776451,"264"
"27-Hdac7","unknown","36-Pachytene/Diplotene",0.670147954743255,"264"
"24-Mfn2","unknown","36-Pachytene/Diplotene",0.00145172997822405,"264"
"74-Pno1","unknown","36-Pachytene/Diplotene",0.00657354149548069,"264"
"43-Ptbp1","unknown","36-Pachytene/Diplotene",0.00642570281124498,"264"
"52-Sprtn","unknown","36-Pachytene/Diplotene",0.00804936946605849,"264"
"44-Trim28","unknown","36-Pachytene/Diplotene",0.00536672629695885,"264"
"29-Ybx1","unknown","36-Pachytene/Diplotene",0.43312101910828,"264"
"04-NC5","control","36-Pachytene/Diplotene",0.992340832934418,"264"
"28-Asf1a","unknown","36-Pachytene/Diplotene",1.30218068535826,"264"
"94-Ddx24","unknown","36-Pachytene/Diplotene",0.00193923723335488,"264"
