Name,type,organ,mouse_index,median_FC
Mettl3-2,unknown,03-Cerebellum flocculus,J111,0.96881068
Adat1,unknown,03-Cerebellum flocculus,J111,0.625950832
Trp53rka,unknown,03-Cerebellum flocculus,J111,0.619617225
Thg1l,unknown,03-Cerebellum flocculus,J111,0.086046785
Cdkal1,unknown,03-Cerebellum flocculus,J111,0.770824813
NC4,control,03-Cerebellum flocculus,J111,0.820549668
Trmt10b,unknown,03-Cerebellum flocculus,J111,0.962837317
Rpusd4,unknown,03-Cerebellum flocculus,J111,0.541566202
Elp3,unknown,03-Cerebellum flocculus,J111,0.678312952
Tprkb,unknown,03-Cerebellum flocculus,J111,1.064166764
Trmt112,unknown,03-Cerebellum flocculus,J111,0.782363014
Ythdc1-1,unknown,03-Cerebellum flocculus,J111,0.721337328
Tgs1,unknown,03-Cerebellum flocculus,J111,0.359806295
Mettl3-1,unknown,03-Cerebellum flocculus,J111,1.069635317
Alkbh3-2,unknown,03-Cerebellum flocculus,J111,0.855014191
NC5,control,03-Cerebellum flocculus,J111,0.959688347
Ythdf1-2,unknown,03-Cerebellum flocculus,J111,1.068015838
Mettl1,unknown,03-Cerebellum flocculus,J111,0.873115037
Fto-1,unknown,03-Cerebellum flocculus,J111,0.531580241
Nfs1,unknown,03-Cerebellum flocculus,J111,0.142463533
Gon7-1,unknown,03-Cerebellum flocculus,J111,0.074651111
Cmtr1,unknown,03-Cerebellum flocculus,J111,0.729915509
Bcdin3d,unknown,03-Cerebellum flocculus,J111,0.568066618
Txn1,unknown,03-Cerebellum flocculus,J111,0.987386677
NC6,control,03-Cerebellum flocculus,J111,0.821169146
Mepce,unknown,03-Cerebellum flocculus,J111,0.142180095
Mettl2,unknown,03-Cerebellum flocculus,J111,0.8510522
Iscu,unknown,03-Cerebellum flocculus,J111,0.160834339
Trmt61b,unknown,03-Cerebellum flocculus,J111,1.15727003
Alkbh8,unknown,03-Cerebellum flocculus,J111,0.776417687
Mrm3,unknown,03-Cerebellum flocculus,J111,1.093270516
Elp1,unknown,03-Cerebellum flocculus,J111,0.706975592
Bud23,unknown,03-Cerebellum flocculus,J111,0.150553258
Hsd17b10,unknown,03-Cerebellum flocculus,J111,0.568932217
NC7,control,03-Cerebellum flocculus,J111,1.1201373
Adat3,unknown,03-Cerebellum flocculus,J111,1.039166771
Trdmt1,unknown,03-Cerebellum flocculus,J111,1.176456162
Gon7-2,unknown,03-Cerebellum flocculus,J111,1.042391789
Mettl6,unknown,03-Cerebellum flocculus,J111,0.660535714
Thumpd1,unknown,03-Cerebellum flocculus,J111,1.172250546
Wdr4,unknown,03-Cerebellum flocculus,J111,0.214263339
Alkbh5,unknown,03-Cerebellum flocculus,J111,0.955185546
Trmt61a,unknown,03-Cerebellum flocculus,J111,0.768282662
Trit1,unknown,03-Cerebellum flocculus,J111,0.868976378
NC8,control,03-Cerebellum flocculus,J111,0.980324203
Ythdc1-2,unknown,03-Cerebellum flocculus,J111,0.612400209
Tfb1m,unknown,03-Cerebellum flocculus,J111,1.024178141
Trmt6,unknown,03-Cerebellum flocculus,J111,0.198157625
Trmt10a,unknown,03-Cerebellum flocculus,J111,1.002128491
Pus3,unknown,03-Cerebellum flocculus,J111,0.844346942
Urm1,unknown,03-Cerebellum flocculus,J111,0.87732244
Alkbh3-1,unknown,03-Cerebellum flocculus,J111,0.841007743
Qtrt2,unknown,03-Cerebellum flocculus,J111,0.803785403
Mettl16,unknown,03-Cerebellum flocculus,J111,0.044496487
Snu13,unknown,09-Optic nerve,J111,0.797713764
Polr2a,positive control,09-Optic nerve,J111,0.383080848
Trp53rkb,unknown,09-Optic nerve,J111,1.002275732
Fbl,unknown,09-Optic nerve,J111,0.59985071
Tyw5,unknown,09-Optic nerve,J111,0.792999385
Trmu,unknown,09-Optic nerve,J111,0.91916898
Ftsj1,unknown,09-Optic nerve,J111,1.314114841
Mrm1,unknown,09-Optic nerve,J111,1.024137931
NC1,control,09-Optic nerve,J111,1.013157895
Cmtr2,unknown,09-Optic nerve,J111,0.831287499
Ythdf1-1,unknown,09-Optic nerve,J111,1.084238366
Fto-2,unknown,09-Optic nerve,J111,0.989879261
Lage3,unknown,09-Optic nerve,J111,0.837527502
Alkbh3-3,unknown,09-Optic nerve,J111,1.15553592
Adat2,unknown,09-Optic nerve,J111,0.765467626
Osgep,unknown,09-Optic nerve,J111,0.180421256
Pus10,unknown,09-Optic nerve,J111,1.144982565
Nsun2,unknown,09-Optic nerve,J111,1.074583876
NC2,control,09-Optic nerve,J111,1.087038197
Rnmt,unknown,09-Optic nerve,J111,1.042550552
Pus7,unknown,09-Optic nerve,J111,0.900238615
Mettl3-3,unknown,09-Optic nerve,J111,0.950096039
Trmt5,unknown,09-Optic nerve,J111,0.919815263
Mettl14,unknown,09-Optic nerve,J111,1.112467491
Qtrt1,unknown,09-Optic nerve,J111,0.979107312
Trmo,unknown,09-Optic nerve,J111,1.145552466
Mrm2,unknown,09-Optic nerve,J111,0.775092596
Dimt1,unknown,09-Optic nerve,J111,0.913248095
