"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Pten-10","j",60,"Pten",12.4241245136187,6386,"Liver","39-Liver","39"
"Cd45-10","j",61,"Cd45",1.81486755909997,1062,"Liver","39-Liver","39"
"Trp53-1","a",2,"Trp53",9.31168139708231,43723,"Small intestine","A123-Small intestine","A123"
"Cd19-1","a",3,"Cd19",0.982077536897112,34768,"Small intestine","A123-Small intestine","A123"
"Kpnb1-1","a",4,"Kpnb1",0.19867032162836,5339,"Small intestine","A123-Small intestine","A123"
"Polr2a-1","a",5,"Polr2a",0.223188536409517,3302,"Small intestine","A123-Small intestine","A123"
"Pten-1","a",6,"Pten",3.8513731825525,35760,"Small intestine","A123-Small intestine","A123"
"Cd45-1","a",7,"Cd45",0.713365896980462,5355,"Small intestine","A123-Small intestine","A123"
"Trp53-2","b",8,"Trp53",4.52572224617732,22741,"Small intestine","A123-Small intestine","A123"
"Cd19-2","b",9,"Cd19",1.33575,5343,"Small intestine","A123-Small intestine","A123"
"Kpnb1-2","b",10,"Kpnb1",0.277520613337191,1279,"Small intestine","A123-Small intestine","A123"
"Polr2a-2","b",11,"Polr2a",0.10786702836912,391,"Small intestine","A123-Small intestine","A123"
"Pten-2","b",12,"Pten",4.92651757188498,16191,"Small intestine","A123-Small intestine","A123"
"Cd45-2","b",13,"Cd45",0.703937242440792,2363,"Small intestine","A123-Small intestine","A123"
"Trp53-3","c",14,"Trp53",1.7376457067805,3528,"Small intestine","A123-Small intestine","A123"
"Cd19-3","c",15,"Cd19",0.795686039544637,1992,"Small intestine","A123-Small intestine","A123"
"Kpnb1-3","c",16,"Kpnb1",0.19867032162836,5339,"Small intestine","A123-Small intestine","A123"
"Polr2a-3","c",17,"Polr2a",0.245031191063398,563,"Small intestine","A123-Small intestine","A123"
"Pten-3","c",18,"Pten",5.8252427184466,11200,"Small intestine","A123-Small intestine","A123"
"Cd45-3","c",19,"Cd45",1.00939720375888,2202,"Small intestine","A123-Small intestine","A123"
"Trp53-4","d",20,"Trp53",2.48134615384615,4301,"Small intestine","A123-Small intestine","A123"
"Cd19-4","d",21,"Cd19",0.975556525534701,1490,"Small intestine","A123-Small intestine","A123"
"Kpnb1-4","d",22,"Kpnb1",0.109391320862216,192,"Small intestine","A123-Small intestine","A123"
"Polr2a-4","d",23,"Polr2a",0.208717518860017,249,"Small intestine","A123-Small intestine","A123"
"Pten-4","d",24,"Pten",5.21037463976945,5424,"Small intestine","A123-Small intestine","A123"
"Cd45-4","d",25,"Cd45",1.16535433070866,1184,"Small intestine","A123-Small intestine","A123"
"Trp53-5","e",26,"Trp53",1.82688306283812,2195,"Small intestine","A123-Small intestine","A123"
"Cd19-5","e",27,"Cd19",1.0856134157105,1230,"Small intestine","A123-Small intestine","A123"
"Kpnb1-5","e",28,"Kpnb1",0.247347364759089,237,"Small intestine","A123-Small intestine","A123"
"Polr2a-5","e",29,"Polr2a",0.164874551971326,138,"Small intestine","A123-Small intestine","A123"
"Pten-5","e",30,"Pten",4.23291035611953,3447,"Small intestine","A123-Small intestine","A123"
"Cd45-5","e",31,"Cd45",1.06584992343032,812,"Small intestine","A123-Small intestine","A123"
"Trp53-6","f",32,"Trp53",3.18200290275762,1827,"Small intestine","A123-Small intestine","A123"
"Cd19-6","f",33,"Cd19",0.711126468555632,686,"Small intestine","A123-Small intestine","A123"
"Kpnb1-6","f",34,"Kpnb1",0.469402447804176,326,"Small intestine","A123-Small intestine","A123"
"Polr2a-6","f",35,"Polr2a",0.521662245800177,295,"Small intestine","A123-Small intestine","A123"
"Pten-6","f",36,"Pten",3.12764535531299,2340,"Small intestine","A123-Small intestine","A123"
"Cd45-6","f",37,"Cd45",1.37298701298701,881,"Small intestine","A123-Small intestine","A123"
"Trp53-7","g",38,"Trp53",1.99912376779847,1521,"Small intestine","A123-Small intestine","A123"
"Cd19-7","g",39,"Cd19",0.857609583446774,525,"Small intestine","A123-Small intestine","A123"
"Kpnb1-7","g",40,"Kpnb1",0.433717226170056,295,"Small intestine","A123-Small intestine","A123"
"Polr2a-7","g",41,"Polr2a",1.44364937388193,1076,"Small intestine","A123-Small intestine","A123"
"Pten-7","g",42,"Pten",5.2367816091954,3417,"Small intestine","A123-Small intestine","A123"
"Cd45-7","g",43,"Cd45",2.64256198347107,1279,"Small intestine","A123-Small intestine","A123"
"Trp53-8","h",44,"Trp53",3.17766116941529,1413,"Small intestine","A123-Small intestine","A123"
"Cd19-8","h",45,"Cd19",0.753015508328547,437,"Small intestine","A123-Small intestine","A123"
"Kpnb1-8","h",46,"Kpnb1",0.256748994830557,149,"Small intestine","A123-Small intestine","A123"
"Polr2a-8","h",47,"Polr2a",0.875866851595007,421,"Small intestine","A123-Small intestine","A123"
"Pten-8","h",48,"Pten",3.7820324005891,1712,"Small intestine","A123-Small intestine","A123"
"Cd45-8","h",49,"Cd45",1.05075053609721,490,"Small intestine","A123-Small intestine","A123"
"Trp53-9","i",50,"Trp53",1.43578767123288,559,"Small intestine","A123-Small intestine","A123"
"Cd19-9","i",51,"Cd19",1.74280230326296,908,"Small intestine","A123-Small intestine","A123"
"Kpnb1-9","i",52,"Kpnb1",0.105947955390335,38,"Small intestine","A123-Small intestine","A123"
"Polr2a-9","i",53,"Polr2a",0.194640338504937,69,"Small intestine","A123-Small intestine","A123"
"Pten-9","i",54,"Pten",5.71306818181818,2011,"Small intestine","A123-Small intestine","A123"
"Cd45-9","i",55,"Cd45",1.62646370023419,463,"Small intestine","A123-Small intestine","A123"
"Trp53-10","j",56,"Trp53",0.572958500669344,214,"Small intestine","A123-Small intestine","A123"
"Cd19-10","j",57,"Cd19",1.44940152339499,666,"Small intestine","A123-Small intestine","A123"
"Kpnb1-10","j",58,"Kpnb1",0.224299065420561,96,"Small intestine","A123-Small intestine","A123"
"Polr2a-10","j",59,"Polr2a",0.123927550047664,65,"Small intestine","A123-Small intestine","A123"
"Pten-10","j",60,"Pten",9.58365758754864,4926,"Small intestine","A123-Small intestine","A123"
"Cd45-10","j",61,"Cd45",1.01509541441185,594,"Small intestine","A123-Small intestine","A123"
"Trp53-1","a",2,"Trp53",1.92375678841444,9033,"Cerebrum","A123-Cerebrum","A123"
"Cd19-1","a",3,"Cd19",0.961401031000636,34036,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-1","a",4,"Kpnb1",0.26501779933268,7122,"Cerebrum","A123-Cerebrum","A123"
"Polr2a-1","a",5,"Polr2a",0.422179163662581,6246,"Cerebrum","A123-Cerebrum","A123"
"Pten-1","a",6,"Pten",2.15562735595046,20015,"Cerebrum","A123-Cerebrum","A123"
"Cd45-1","a",7,"Cd45",0.991119005328597,7440,"Cerebrum","A123-Cerebrum","A123"
"Trp53-2","b",8,"Trp53",2.35331188430794,11825,"Cerebrum","A123-Cerebrum","A123"
"Cd19-2","b",9,"Cd19",1.048,4192,"Cerebrum","A123-Cerebrum","A123"
"Kpnb1-2","b",10,"Kpnb1",0.433964993490525,2000,"Cerebrum","A123-Cerebrum","A123"
